Location,ID,Latitude,Longitude,River,ReachID
Arroyo De La Laguna - Verona,ADLC1,37.62667,-121.88194,Arroyo De La Laguna,2806611
Santa Ana River - Prado Reservoir,ADOC1,33.89056,-117.63639,Santa Ana River,22563416
Arroyo Hondo - San Jose,AHOC1,37.46167,-121.76833,Arroyo Hondo,2809859
South Fork American River - Kyburz,AKYC1,38.76389,-120.32833,South Fork American River,14982602
Alamo Canal - Pleasanton,ALQC1,37.69444,-121.91944,Alamo Canal,2806395
Alamitos Creek - Almaden Reservoir,ALRC1,37.165,-121.8275,Alamitos Creek,17694737
Arroyo Mocho - Livermore,AMLC1,37.67687,-121.8144,Arroyo Mocho,2806391
Coyote Creek - Anderson Reservoir,ANDC1,37.16556,-121.62833,Coyote Creek,17695819
San Antonio Creek - San Antonio Reservoir,ANOC1,37.57,-121.84861,San Antonio Creek,2808653
Indian Creek - Antelope Lake,ANTC1,40.18,-120.60694,Indian Creek,8027934
Napa River - Napa,APCC1,38.36833,-122.30222,Napa River,1669113
Mad River - Arcata,ARCC1,40.90972,-124.05972,Mad River,8316811
Pajaro River - Chittenden,AROC1,36.90028,-121.59667,Pajaro River,17663281
N Fork Stanislaus River - Avery,AVYC1,38.24389,-120.29,N Fork Stanislaus River,344905
Alameda Creek - Sunol,AWEC1,37.54056,-121.85528,Alameda Creek,2806865
Arroyo Mocho - Pleasanton,AYMC1,37.69049,-121.87329,Arroyo Mocho,2806357
Little Truckee River - Below Boca Dam,BCAC1,39.38694,-120.09444,Little Truckee River,8933684
Bear Creek - Bear Reservoir,BCKC1,37.36694,-120.21694,Bear Creek,19777705
Sacramento River - Bend Bridge,BDBC1,40.28861,-122.18556,Sacramento River,12068830
Chowchilla River - Eastman Lake,BHNC1,37.21333,-119.97,Chowchilla River,17100939
Butte Creek - Chico,BKCC1,39.72611,-121.70778,Butte Creek,1680009
Stony Creek - Black Butte Reservoir,BLBC1,39.80806,-122.32889,Stony Creek,12074518
Burns Creek - Burns Reservoir,BNCC1,37.37667,-120.275,Burns Creek,948040367
Klamath River - JC Boyle Power Plant,BOYO3,42.08472,-122.07222,Klamath River,358949
East Walker River - Bridgeport Reservoir,BPRC1,38.32778,-119.21389,East Walker River,8915961
Salinas River - Bradley,BRDC1,35.93028,-120.86778,Salinas River,8211251
Van Duzen River - Bridgeville,BRGC1,40.47944,-123.88972,Van Duzen River,2705477
Cottonwood Creek - Barrett Lake,BRTC1,32.68056,-116.66944,Cottonwood Creek,20326499
Big Sulphur Creek - Cloverdale,BSCC1,38.82611,-122.99583,Big Sulphur Creek,8271875
Big Sur River - Big Sur,BSRC1,36.24583,-121.77222,Big Sur River,8189809
Sacramento River - Butte City,BTCC1,39.45778,-121.99306,Sacramento River,2852705
San Lorenzo River - Big Trees,BTEC1,37.04444,-122.07139,San Lorenzo River,17682474
Big Tujunga Creek - Big Tujunga Reservoir,BTJC1,34.29444,-118.18722,Big Tujunga Creek,22515856
Sprague River - Beatty,BTYO3,42.44722,-121.2375,Sprague River,24084452
Trinity River - Burnt Ranch,BURC1,40.78889,-123.43889,Trinity River,8244250
Canyon Creek - Bowman Reservoir,BWKC1,39.45028,-120.6525,Canyon Creek,8064611
Calero Creek - Calero Reservoir,CADC1,37.18333,-121.79111,Calero Creek,17695921
South Fork American River - Placerville,CBAC1,38.77111,-120.81528,South Fork American River,14982644
Llagas Creek - Chesbro Reservoir,CBRC1,37.11667,-121.69278,Llagas Creek,17661097
Santa Ynez River - Lake Cachuma,CCHC1,34.57917,-119.9775,Santa Ynez River,17611491
Russian River - Cloverdale,CDLC1,38.87944,-123.0525,Russian River,8271445
Trinity River - Trinity Lake,CEGC1,40.80139,-122.76222,Trinity River,8246564
East Fork Carson River - Markleeville,CEMC1,38.71389,-119.76389,East Fork Carson River,8922715
Bear River - Camp Far West,CFWC1,39.05028,-121.31472,Bear River,15070264
Salinas River - Chualar,CHLC1,36.55556,-121.54861,Salinas River,8200795
Sprague River - Chiloquin,CHSO3,42.58472,-121.84861,Sprague River,24084310
Cherry Creek - Cherry Lake,CHVC1,37.97472,-119.91611,Cherry Creek,17082185
Lost River - Clear Lake Reservoir,CKEC1,41.92639,-121.07528,Lost River,2556483
Sacramento River - Colusa Weir,CLAC1,39.23667,-121.99361,Sacramento River,2852717
Clear Lake - Lakeport,CLKC1,39.03906,-122.91333,Clear Lake,8007779
Calleguas Creek - CSU Channel Islands,CLLC1,34.17944,-119.03889,Calleguas Creek,17562626
Sacramento River - Moulton Weir,CLSC1,39.33833,-122.02167,Sacramento River,2849991
Sacramento River - Colusa Bridge,CLUC1,39.21417,-121.99917,Sacramento River,24688709
Coyote Creek - Milpitas - Highway 237,CMIC1,37.42222,-121.92639,Coyote Creek,17695611
Mokelumne River - Pardee Reservoir,CMPC1,38.25694,-120.84972,Mokelumne River,17058392
Humboldt River - Comus,CMSN2,40.9925,-117.31667,Humboldt River,11202414
Pit River - Canby,CNBC1,41.40611,-120.92667,Pit River,7932045
