stn,lat,lon,link
WKAO3,42.74028,-121.83333,24081561
CHSO3,42.58472,-121.84861,24084310
WMSO3,42.56485858,-121.8794593,24082481
SCNO3,42.48611,-121.27778,24084766
BTYO3,42.44709324,-121.2386083,24084452
KLAO3,42.25,-121.81528,24091906
GERO3,42.20111,-121.13028,2553671
KEOO3,42.13333,-121.96111,2553639
BOYO3,42.08472,-122.07222,358949
MDCN2,41.96667,-117.83083,11849049
IRGC1,41.92791865,-122.4441882,361671
CKEC1,41.92639,-121.07528,2556483
FTDC1,41.8806684,-124.1364704,22227058
SEIC1,41.8537379,-123.2322733,4440518
HAPC1,41.83512325,-123.3831113,4440524
YREC1,41.8229179,-122.5955813,3917058
CREC1,41.7915026,-124.0761887,22226812
FTJC1,41.64069017,-123.015037,3798909
MARN2,41.5346175,-117.4179047,11137442
KLMC1,41.5109543,-123.9795164,4438356
LHPN2,41.41583,-117.37361,11138998
CNBC1,41.40600116,-120.9277458,7932045
SBRC1,41.3765154,-123.4770026,8261865
ONSC1,41.3034599,-123.5345036,4442602
ORIC1,41.2992896,-124.0511825,8315607
MHSN2,41.2526961,-115.2564468,10779090
PLYC1,41.2307286,-120.4371726,7932193
MMCC1,41.18833,-122.06444,7960779
DEVN2,41.18056,-115.49306,10764661
TCCC1,41.11139,-122.70444,8242324
HOOC1,41.049852,-123.673668,8241662
CMSN2,40.99212549,-117.3176168,11202414
MSSC1,40.95833,-122.21833,7962651
DLTC1,40.93972,-122.41611,7966063
HREN2,40.93655556,-115.6241667,10784576
ARCC1,40.9098497,-124.0606183,8316811
BLKC1,40.90722,-123.81472,8319319
PITC1,40.84389,-122.00139,7951290
ROCN2,40.825,-116.58333,11192063
CEGC1,40.80139,-122.76222,8246564
BURC1,40.78889,-123.43889,8244250
TRNC1,40.76722,-123.11333,8244344
TRJC1,40.72861,-123.06083,8244466
HRCN2,40.72769715,-116.009242,10783402
SHDC1,40.71417,-122.41611,7966205
HRIN2,40.6924048,-118.204312,11153151
LCLN2,40.69076057,-115.477003,10786444
DIXN2,40.6849236,-115.8134002,10750117
HBMN2,40.6676885,-116.9312118,11206996
HYMC1,40.65,-123.49306,8232392
SFHN2,40.6274972,-115.7305222,10750253
FRNC1,40.61583,-124.20167,2702743
KWKC1,40.61167,-122.44333,2495224
PALN2,40.60741747,-116.2017444,10782860
WHSC1,40.59806,-122.53694,2782763
RDGC1,40.51333,-122.52306,2495296
CWCC1,40.50528,-122.23222,2495212
SCOC1,40.49152384,-124.0997699,2704735
BRGC1,40.48041636,-123.890876,2705477
SUSC1,40.41739494,-120.6718958,20296767
COTC1,40.39833,-122.14528,2495730
CWAC1,40.385,-122.23889,948020238
MTOC1,40.31333,-124.28222,2544433
BDBC1,40.28848836,-122.1866645,12068830
MAUC1,40.28444,-123.33417,8320019
FTSC1,40.2182,-123.63253,2706571
PLLC1,40.20917,-121.15694,2773738
MRNC1,40.18181004,-123.7761426,8285120
ANTC1,40.18,-120.60694,8027934
RDBC1,40.15389,-122.20083,12068890
ETTC1,40.13945,-123.99028,2546355
IIFC1,40.05611,-120.96194,8027088
MLMC1,40.05472,-122.02306,8019544
TEHC1,40.02876,-122.11798,12068958
EDCC1,40.02472,-122.50861,12068798
DCVC1,40.01417,-121.94722,8020924
NFEC1,40.01111,-121.21694,8025256
SCBC1,40.00306,-120.95333,8027910
VWBC1,39.90889,-122.09111,12074486
FHDC1,39.89389,-120.19028,8042001
TCRC1,39.88861,-122.52139,12074976
DVSC1,39.88389,-120.47528,8041953
LEGC1,39.87472,-123.71944,8287256
WBGC1,39.825,-121.5675,2775742
MFTC1,39.81906795,-120.4446582,948020312
BLBC1,39.80806,-122.32889,12074518
NIXN2,39.7773722,-119.3375222,11314309
HKCC1,39.76806,-121.77694,12076092
HAMC1,39.75139,-121.99722,12074734
BKCC1,39.72611,-121.70778,1680009
MRMC1,39.70833,-121.26944,8037183
DOSC1,39.70639,-123.32417,8259207
DRMC1,39.67806,-121.77694,1680023
WADN2,39.63213447,-119.2832254,11313919
ORFC1,39.62778,-121.99139,2845759
TBDN2,39.58463448,-119.4412872,8931712
SGEC1,39.58306,-122.53306,7993025
ORDC1,39.53306,-121.51694,2778598
