STA,StationName,Elevation,Latitude,Longitude,NearbyCity,HydroNo,BasinNo,Owner,Maintenance,Operator,MapNo,CollectNo,CountyName,BasinName,AgencyName,HydroArea,Sensors
3LK,THREE LAKES,6264,39.97304,-121.2131,BUCKS LAKE,5,7301,999,999,62,0,0,PLUMAS,FEATHER RIVER,"Pacific Gas and Electric Company, Rogers Flat",SACRAMENTO RIVER,"3,18,82"
ABN,LAKE AUDRAIN,7300,38.81983,-120.03932,MEYERS,5,7701,999,999,14,17,0,EL DORADO,AMERICAN RIVER,Placerville Ranger District,SACRAMENTO RIVER,"3,18,82"
ABY,ABBEY,5650,39.955,-120.538,PORTOLA,5,7301,2,2,2,14,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Beckwourth,SACRAMENTO RIVER,"3,18,82"
ADI,ADIN MOUNTAIN,6200,41.237,-120.793,ADIN,5,6701,22,22,22,5,0,MODOC,PIT RIVER,Big Valley Ranger District,SACRAMENTO RIVER,"3,18,82"
AGP,AGNEW PASS,9450,37.7266311645508,-119.141731262207,MAMMOTH LAKES,6,9001,50,702,50,999,0,MADERA,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"3,4,9,10,14,18,30,31,32,82"
ANR,ANTELOPE RIDGE,5650,40.155,-120.542,SUSANVILLE,5,7301,2,2,2,10,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Beckwourth,SACRAMENTO RIVER,"3,18,82"
APH,ALPHA,7600,38.8041381835938,-120.215644836426,TWIN BRIDGES,5,7701,999,999,1,999,0,EL DORADO,AMERICAN RIVER,CA Dept of Water Resources,SACRAMENTO RIVER,"3,18,82"
ASH,ASH CREEK,5000,41.4,-122.05,MACDOEL,5,6601,999,999,32,3,0,SISKIYOU,MC CLOUD RIVER,McCloud Ranger District,SACRAMENTO RIVER,"3,18,82"
ATP,ANTHONY PEAK,6200,39.842,-122.95,,5,7251,999,999,21,12,0,TEHAMA,STONY CREEK,Covelo Ranger District,SACRAMENTO RIVER,"3,18,82"
ATS,ANTELOPE SPRINGS,4350,38.503,-120.467,,6,8301,999,12,12,18,0,AMADOR,MOKELUMNE RIVER,Amador Ranger District,SAN JOAQUIN RIVER,"3,18,82"
BBS,BEAR BASIN,6500,40.967,-122.867,,1,901,999,999,34,8,0,TRINITY,TRINITY RIVER,Weaverville Ranger District,NORTH COAST,"3,18,82"
BCB,BLACKCAP BASIN,10300,37.0666847229004,-118.773010253906,PIEDRA,7,9401,702,702,702,999,0,FRESNO,KINGS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"3,4,9,10,12,14,18,30,31,32,82,246,247"
BCP,BROWNS CAMP,5543,39.89791,-121.25763,,5,7301,999,999,62,0,0,PLUMAS,FEATHER RIVER,"Pacific Gas and Electric Company, Rogers Flat",SACRAMENTO RIVER,"3,18,82"
BDF,BADGER FLAT,8300,37.265,-119.108,,6,9001,999,999,68,25,0,FRESNO,SAN JOAQUIN RIVER,"Southern California Edison Company, Big Creek",SAN JOAQUIN RIVER,"3,18,82"
BEM,BELL MEADOW,6500,38.167,-119.942,PINECREST,6,8601,999,999,37,19,0,TUOLUMNE,TUOLUMNE RIVER,Summit Ranger District,SAN JOAQUIN RIVER,"3,18,82"
BFT,BIG FLAT (COURSE),5100,41.077,-122.938,COFFEE CREEK,1,901,999,999,34,3,0,TRINITY,TRINITY RIVER,Weaverville Ranger District,NORTH COAST,"3,18,82"
BGH,BIGHORN PLATEAU,11350,36.615,-118.377,LONE PINE,7,9701,999,999,1,32,0,TULARE,KERN RIVER,CA Dept of Water Resources,TULARE LAKE,"3,18,82"
BHM,BEACH MEADOWS,7650,36.122,-118.293,FAIRVIEW,7,9701,999,999,29,32,0,TULARE,KERN RIVER,Kern River Ranger District,TULARE LAKE,"3,18,82"
BHV,BEEHIVE MEADOW,6500,37.995,-119.78,MATHER,6,8601,999,999,52,25,0,TUOLUMNE,TUOLUMNE RIVER,Yosemite National Park,SAN JOAQUIN RIVER,"3,18,82"
BKL,BUCKS LAKE,5873,39.85292,-121.25135,QUINCY,5,7301,999,703,703,0,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,14,45,73,82,203,237,238"
BLD,BLOODS CREEK,7200,38.4512557983398,-120.034881591797,TAMARACK,6,8501,50,702,50,999,0,ALPINE,STANISLAUS RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
BLF,BULLFROG LAKE,10650,36.77,-118.398,,7,9401,999,999,1,32,0,FRESNO,KINGS RIVER,CA Dept of Water Resources,TULARE LAKE,"3,18,82"
BLK,BLUE LAKES,8000,38.613,-119.931,KIRKWOOD,6,8301,54,54,54,19,0,ALPINE,MOKELUMNE RIVER,Natural Resources Conservation Service,SAN JOAQUIN RIVER,"2,3,4,18,30,31,32,82"
BLS,BLACK SPRINGS,6500,38.3758811950684,-120.194999694824,GANNS,6,8501,50,702,50,999,0,CALAVERAS,STANISLAUS RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
BLU,BLUE LAKE RANCH,6800,41.15,-120.25,,5,6701,999,999,24,5,0,LASSEN,PIT RIVER,Warner Mountain Ranger District,SACRAMENTO RIVER,"3,18,82"
BMD,BEARD MEADOW,9800,37.113,-118.837,,7,9401,999,999,61,26,0,FRESNO,KINGS RIVER,"Pacific Gas and Electric Company, Auberry",TULARE LAKE,"3,18,82"
BMN,BLACKS MOUNTAIN,6700,40.762,-121.195,OLD STATION,5,6701,999,999,19,9,0,LASSEN,PIT RIVER,Hat Creek Ranger District,SACRAMENTO RIVER,"3,18,82"
BMS,BIG MEADOWS,7619,36.715311,-118.848558,WILSONIA,7,9401,91,91,91,0,0,TULARE,KINGS RIVER,Kings River Water Association,TULARE LAKE,"3,18,82"
BNH,BENCH LAKE,10600,36.958,-118.445,,7,9401,999,999,91,32,0,FRESNO,KINGS RIVER,Kings River Water Association,TULARE LAKE,"3,18,82"
BNM,BONITA MEADOWS,8300,36.038,-118.328,,7,9701,999,999,29,32,0,TULARE,KERN RIVER,Kern River Ranger District,TULARE LAKE,"3,18,82"
BNP,BOND PASS,9300,38.178,-119.623,LEAVITT MEADOWS,6,8601,999,999,37,19,0,TUOLUMNE,TUOLUMNE RIVER,Summit Ranger District,SAN JOAQUIN RIVER,"3,18,82"
BNS,BURNEY SPRINGS,4700,40.78,-121.617,,5,6701,999,999,19,9,0,SHASTA,PIT RIVER,Hat Creek Ranger District,SACRAMENTO RIVER,"3,18,82"
BOM,BOWMAN LAKE,5650,39.458,-120.6,SODA SPRINGS,5,7401,999,81,81,14,0,NEVADA,YUBA RIVER,Nevada Irrigation District,SACRAMENTO RIVER,"3,18,82"
BP2,BIG PINE CREEK 2,9700,37.127,-118.47,BIG PINE,9,11001,999,999,71,26,0,INYO,OWENS RIVER,City of Los Angeles; Dept of Water and Power,SOUTH LAHONTAN,"3,18,82"
BP3,BIG PINE CREEK 3,9800,37.128,-118.475,BIG PINE,9,11001,999,999,71,26,0,INYO,OWENS RIVER,City of Los Angeles; Dept of Water and Power,SOUTH LAHONTAN,"3,18,82"
BSH,BISHOP PASS,11200,37.1,-118.557,BISHOP,7,9401,702,702,702,26,0,FRESNO,KINGS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"2,3,4,9,10,12,14,18,30,31,32,82,246,247"
BSP,BISHOP LAKE,11300,37.123,-118.545,BISHOP,9,11001,999,999,1,26,0,INYO,OWENS RIVER,CA Dept of Water Resources,SOUTH LAHONTAN,"3,18,82"
BV1,BEAR VALLEY RIDGE 1,6700,38.618,-120.228,BEAR VALLEY,6,8301,999,999,67,18,0,AMADOR,MOKELUMNE RIVER,"Pacific Gas and Electric Company, Angels Camp",SAN JOAQUIN RIVER,"3,18,82"
