STA,StationName,Elevation,Latitude,Longitude,NearbyCity,HydroNo,BasinNo,Owner,Maintenance,Operator,MapNo,CollectNo,CountyName,BasinName,AgencyName,HydroArea,Sensors
ADM,ADIN MOUNTAIN,6200,41.237,-120.792,ADIN,5,6701,54,54,54,5,0,MODOC,PIT RIVER,Natural Resources Conservation Service,SACRAMENTO RIVER,"2,3,4,18,30,31,32,82"
AGP,AGNEW PASS,9450,37.72663116,-119.1417313,MAMMOTH LAKES,6,9001,50,702,50,999,0,MADERA,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"3,4,9,10,14,18,30,31,32,82"
ALP,ALPHA (SMUD),7600,38.80419159,-120.2156525,STRAWBERRY,5,7701,700,85,85,999,0,EL DORADO,AMERICAN RIVER,Sacramento Municipal Utility District,SACRAMENTO RIVER,"2,3,4,30,31,32,82"
BCB,BLACKCAP BASIN,10300,37.06668472,-118.7730103,PIEDRA,7,9401,702,702,702,999,0,FRESNO,KINGS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"3,4,9,10,12,14,18,30,31,32,82,246,247"
BCH,BEACH MEADOWS,7650,36.12609482,-118.293457,FAIRVIEW,7,9701,702,702,702,999,0,TULARE,KERN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"2,3,4,9,10,12,14,18,30,31,32,45,82,103,104,105,247"
BFL,BIG FLAT,5100,41.07759857,-122.9422302,COFFEE CREEK,1,901,50,702,50,999,0,TRINITY,TRINITY RIVER,US Bureau of Reclamation,NORTH COAST,"2,3,4,14,18,45,82"
BGP,BIG PINE CREEK,9800,37.12781525,-118.4769669,BIG PINE,9,11001,702,702,702,999,0,INYO,OWENS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SOUTH LAHONTAN,"3,4,9,10,12,14,18,82"
BIM,BIG MEADOWS (DWR),7600,36.71522522,-118.8437729,WILSOMA,7,9401,702,702,702,999,0,TULARE,KINGS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"2,3,4,9,10,12,14,18,30,31,32,45,82,96,97,98,99,115,246,247,277,280,281,283,286,287,310,311"
BKL,BUCKS LAKE,5873,39.85292,-121.25135,QUINCY,5,7301,999,703,703,0,0,PLUMAS,FEATHER RIVER,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,"2,3,14,45,73,82,203,237,238"
BLA,BLACKS MOUNTAIN,7050,40.76984024,-121.1997833,OLD STATION,5,6701,702,702,702,999,0,LASSEN,PIT RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SACRAMENTO RIVER,"2,3,4,12,14,16,18,30,31,32,45,82,103,104,105"
BLC,BLUE CANYON,5280,39.28009796,-120.7086945,EMIGRANT GAP,5,7701,50,702,50,999,0,PLACER,AMERICAN RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,14,16,18,30,31,32,45,82,203"
BLD,BLOODS CREEK,7200,38.4512558,-120.0348816,TAMARACK,6,8501,50,702,50,999,0,ALPINE,STANISLAUS RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
BLK,BLUE LAKES,8000,38.613,-119.931,KIRKWOOD,6,8301,54,54,54,19,0,ALPINE,MOKELUMNE RIVER,Natural Resources Conservation Service,SAN JOAQUIN RIVER,"2,3,4,18,30,31,32,82"
BLS,BLACK SPRINGS,6500,38.3758812,-120.1949997,GANNS,6,8501,50,702,50,999,0,CALAVERAS,STANISLAUS RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
BMW,BIG MEADOWS (SCS),8700,39.458,-119.946,In State of Nevada,8,10501,54,54,54,999,0,State of Nevada,TRUCKEE RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,30,31,32,82"
BNK,BONANZA KING,6450,41.08311844,-122.6312714,TRINITY CENTER,1,901,50,702,50,999,0,TRINITY,TRINITY RIVER,US Bureau of Reclamation,NORTH COAST,"2,3,4,14,16,18,30,31,32,45,82"
BSH,BISHOP PASS,11200,37.1,-118.557,BISHOP,7,9401,702,702,702,26,0,FRESNO,KINGS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"2,3,4,9,10,12,14,18,30,31,32,82,246,247"
BSK,BURNSIDE LAKE,8129,38.7194,-119.8942,SORENSENS,8,10701,54,54,54,19,0,ALPINE,CARSON RIVER,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,82"
CAP,CAPLES LAKE,8000,38.71079254,-120.0415802,KIRKWOOD,5,7701,50,702,50,999,0,ALPINE,AMERICAN RIVER,US Bureau of Reclamation,SACRAMENTO RIVER,"2,3,4,9,10,12,14,16,17,18,26,30,31,32,45,77,78,82,116"
CBT,CRABTREE MEADOW,10700,36.56368256,-118.3479462,LONE PINE,7,9701,702,702,702,999,0,TULARE,KERN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"2,3,4,12,14,18,30,31,32,45,82,96,97,98,99,103,104,105,115"
CDP,CEDAR PASS,7100,41.583,-120.303,CEDARVILLE,5,6701,54,54,54,5,0,MODOC,PIT RIVER,Natural Resources Conservation Service,SACRAMENTO RIVER,"2,3,4,18,30,31,32,82"
CHM,CHILKOOT MEADOW,7150,37.40839005,-119.4921875,BASS LAKE,6,9001,50,702,50,999,0,MADERA,SAN JOAQUIN RIVER,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82"
CHP,CHAGOOPA PLATEAU,10300,36.49714279,-118.4467163,HAMMOND,7,9701,702,702,702,999,0,TULARE,KERN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"3,4,14,18,30,31,32,82"
CRL,CHARLOTTE LAKE,10400,36.77752304,-118.4260101,CEDAR GROVE,7,9401,702,702,702,999,0,FRESNO,KINGS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"2,3,4,9,10,12,14,18,30,31,32,45,82,115"
CSL,CENT SIERRA SNOW LAB,6900,39.325,-120.367,SODA SPRINGS,5,7401,54,54,54,14,0,NEVADA,YUBA RIVER,Natural Resources Conservation Service,SACRAMENTO RIVER,"2,3,4,30,31,32,45,82,125"
CSV,CASA VIEJA MEADOWS,8300,36.19809723,-118.2676849,FAIRVIEW,7,9701,702,702,702,999,0,TULARE,KERN RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,TULARE LAKE,"3,4,14,18,30,31,32,82"
CWD,COTTONWOOD LAKES,10150,36.4838295,-118.1775589,LONE PINE,9,11001,702,702,702,999,0,INYO,OWENS RIVER,CA Dept of Water Resources/DFM-Hydro-SMN,SOUTH LAHONTAN,"2,3,4,9,10,12,14,18,30,31,32,45,82,103,104,105"
CWF,CROWDER FLAT,5100,41.8934,-120.7519,DAVIS CREEK,1,201,54,54,54,5,0,MODOC,KLAMATH RIVER,Natural Resources Conservation Service,NORTH COAST,"2,3,4,18,82"
CXS,CARSON PASS,8353,38.6924,-120.0021,CARSON PASS,9,7701,54,54,54,18,0,ALPINE,AMERICAN RIVER,Natural Resources Conservation Service,SOUTH LAHONTAN,"2,3,4,18,82"
